model,hyperparameter,importance,std
GRU,batch_size,0.019456930472586068,0.018288072713556314
GRU,context_size,0.038231579538404586,0.022587783049296768
GRU,decoder_hidden_size,0.023104787880156928,0.019908529283369353
GRU,decoder_layers,0.01653664731104939,0.012841387548378066
GRU,encoder_bias,0.011373749473005408,0.0034515335419584617
GRU,encoder_dropout,0.01955772325089401,0.017916430058919144
GRU,encoder_hidden_size,0.020823034960324137,0.017180923319878166
GRU,encoder_n_layers,0.028799872750082115,0.020552598716806016
GRU,inference_input_size_multiplier,0.052288628068757316,0.06893620457843706
GRU,input_size_multiplier,0.09775160965290522,0.0709487512281666
GRU,learning_rate_bin,0.14301393184939526,0.07226708786426436
GRU,max_steps,0.08762434167686953,0.06916612924544494
GRU,random_seed,0.12681719609449776,0.032879478441451816
GRU,recurrent,0.19101778599206848,0.12776941086408128
GRU,scaler_type,0.10889871784857483,0.07280231301888422
GRU,start_padding_enabled,0.014703463180428953,0.007497686404331122
KAN,batch_size,0.02461723567753768,0.03045009930000759
KAN,enable_standalone_scale_spline,0.006691520093982098,0.005935126893608119
KAN,grid_size,0.04210649585742553,0.034725935687686144
KAN,hidden_size,0.030287573832976655,0.020307092227763324
KAN,input_size_multiplier,0.11275167285683015,0.11329376222216125
KAN,learning_rate_bin,0.25394511052704,0.1321138890229251
KAN,max_steps,0.09648216896660491,0.05005120008763758
KAN,n_hidden_layers,0.036693494172178875,0.028849367404979953
KAN,random_seed,0.1173723455974496,0.04616071879166119
KAN,scale_noise,0.016812306415780978,0.011461772246021558
KAN,scaler_type,0.18857299281318485,0.09673124166759738
KAN,spline_order,0.019758481066704144,0.0159616555435582
KAN,start_padding_enabled,0.01407661836894964,0.0157268110756608
KAN,windows_batch_size,0.03983198375335493,0.03885667907574136
MLP,batch_size,0.030406956193372726,0.03702197963841066
MLP,hidden_size,0.07684678182263482,0.05931649002112483
MLP,input_size_multiplier,0.16899458808968865,0.10834108472225312
MLP,learning_rate_bin,0.18647039255559397,0.07551208054335011
MLP,max_steps,0.06881992758067312,0.0380697631094696
MLP,num_layers,0.09030347793068984,0.05852034793871901
MLP,random_seed,0.10010732049520503,0.01953550816077697
MLP,scaler_type,0.19213505657394453,0.10646800548145846
MLP,start_padding_enabled,0.01216443704802851,0.01159588944405063
MLP,windows_batch_size,0.07375106171016882,0.08176868945362664
NHITS,batch_size,0.015087671058200114,0.01313074318207627
NHITS,dropout_prob_theta,0.03913102948865076,0.030578690369276046
NHITS,input_size_multiplier,0.15913710812507964,0.11979258572274111
NHITS,interpolation_mode,0.015387973578847209,0.012894116078748316
NHITS,learning_rate_bin,0.12611586599388272,0.0681698062390981
NHITS,max_steps,0.07957818775252823,0.01977749438972247
NHITS,mlp_units,0.05938427649830228,0.030524312929339967
NHITS,n_freq_downsample,0.09025091178480704,0.02208249659035268
NHITS,n_pool_kernel_size,0.1875267802189404,0.04990602228052726
NHITS,pooling_mode,0.021525197791736082,0.027336757951959056
NHITS,random_seed,0.1015819157962715,0.02446986946031665
NHITS,scaler_type,0.03996267224930458,0.03633243857698488
NHITS,start_padding_enabled,0.017567494730823453,0.00972892548266839
NHITS,windows_batch_size,0.04776291493262598,0.04564204990545649
PatchTST,activation,0.008982311616261724,0.006477746512143134
PatchTST,batch_normalization,0.0072126444600839204,0.006820280468090494
PatchTST,batch_size,0.014675510356070863,0.010138612298131303
PatchTST,encoder_layers,0.014130400054061461,0.014083919477196014
PatchTST,hidden_size,0.03188997428527675,0.017897820030843507
PatchTST,input_size_multiplier,0.14643284690882263,0.09071094210053726
PatchTST,learn_pos_embed,0.0036225001245897234,0.00422093618046066
PatchTST,learning_rate_bin,0.15770564218231817,0.053165956597755394
PatchTST,linear_hidden_size,0.012591877207849596,0.017638483579681615
PatchTST,max_steps,0.035206506505817574,0.027169808375374697
PatchTST,n_heads,0.01851266768435117,0.014012208282244082
PatchTST,patch_len,0.008508536642988956,0.006913294593461431
PatchTST,random_seed,0.10633696101765276,0.04213041747271418
PatchTST,res_attention,0.009890846898303787,0.009906506622276764
PatchTST,revin,0.19682720740154044,0.0834702039943188
PatchTST,scaler_type,0.18073632810528717,0.09823710400717575
PatchTST,start_padding_enabled,0.00496742819312661,0.0045031635460276555
PatchTST,stride,0.003938182407628659,0.002767109273823838
PatchTST,windows_batch_size,0.03783162794796805,0.021332252796305417
TFT,attn_dropout,0.02716403215048313,0.012225255586801962
TFT,batch_size,0.022755811986225498,0.014561941781980786
TFT,dropout,0.02595671783388956,0.01899091208433109
TFT,grn_activation,0.021346246585902215,0.018012881576434884
TFT,hidden_size,0.014484948946951168,0.009006498624999337
TFT,input_size_multiplier,0.10979885148775098,0.119917211221191
TFT,learning_rate_bin,0.19403250078510384,0.05684707965265172
TFT,max_steps,0.11022187372872695,0.08453429211849886
TFT,n_head,0.015253157552493042,0.01501176878914365
TFT,n_rnn_layers,0.031065919710166374,0.024152794930036355
TFT,random_seed,0.10417824498012818,0.03948806356637204
TFT,rnn_type,0.02429439066735489,0.015130058526793016
TFT,scaler_type,0.2570922457446401,0.08128141501789485
TFT,start_padding_enabled,0.011976601993156727,0.0053601297023238605
TFT,windows_batch_size,0.030378455847027322,0.03150073601660321
