Dataset,RS,AT
monash_tourism_quarterly,1.4011323992267406,1.212368424534744
monash_tourism_monthly,1.1821855614070025,1.1659294806854186
monash_m3_quarterly,0.8629874727219413,0.8444060589031751
monash_m3_monthly,0.7462105396253705,0.7462105396253705
monash_m1_monthly,0.7481541330550058,0.7674966402018261
monash_m1_quarterly,0.8803114663074041,0.8687806308731693
TrafficL,0.9943601578099917,1.0397150361800118
ECL,1.051789966004971,1.0594091778546924
